USER_NAME,USER_EMAIL,USER_PHONE,USER_ADDRESS,USER_CITY,USER_POSTAL,USER_COUNTRY
Olena Kovalenko,olena.kov@gmail.com,0501234567,Shevchenka 12,Kyiv,01001,UA
Ivan Petrenko,ivan.pet@gmail.com,0679876543,Lvivska 5,Lviv,79000,UA
Maria Bondar,maria.bond@gmail.com,0634567890,Haharina 8,Kharkiv,61000,UA
Serhiy Tkachenko,serhiy.tka@gmail.com,0956781234,Independence 22,Dnipro,49000,UA
Kateryna Moroz,kateryna.mor@gmail.com,0973456789,Franko 14,Odesa,65000,UA
Andriy Shevchenko,andriy.sh@gmail.com,0662345678,Stepana Bandery 9,Kyiv,01133,UA
Olga Hryhorenko,olga.hry@gmail.com,0688765432,Khmelnitskogo 18,Lviv,79005,UA
Mykola Fedorov,mykola.fed@gmail.com,0991122334,Petra Kalnyshevskoho 7,Kharkiv,61103,UA
Svitlana Pavlenko,svitlana.pav@gmail.com,0934455667,Chornovola 3,Dnipro,49100,UA
Dmytro Koval,dmytro.kov@gmail.com,0967788990,Saksahanskoho 25,Odesa,65010,UA
Iryna Melnyk,iryna.mel@gmail.com,0505566778,Shevchenka 45,Kyiv,01010,UA
Oleh Kravchenko,oleh.kra@gmail.com,0679988776,Lesi Ukrainky 19,Lviv,79010,UA
Natalia Vasylenko,natalia.vas@gmail.com,0632233445,Klochkivska 12,Kharkiv,61005,UA
Viktor Bondarenko,viktor.bon@gmail.com,0956677889,Heroes of Stalingrad 8,Dnipro,49200,UA
Anastasiya Tymoshenko,anastasiya.tim@gmail.com,0973344556,Deribasivska 30,Odesa,65020,UA
Pavlo Lysenko,pavlo.ly@gmail.com,0668899001,Sumska 7,Kharkiv,61110,UA
Yuliya Kravchuk,yuliya.kra@gmail.com,0681234567,Franka 2,Kyiv,01015,UA
Roman Hlushchenko,roman.hlu@gmail.com,0995566778,Krasnoarmeyska 14,Lviv,79020,UA
Tetiana Shevchuk,tetiana.she@gmail.com,0937788990,Poltavska 33,Dnipro,49300,UA
Oleksandr Marchenko,oleksandr.mar@gmail.com,0964455667,Suvorova 11,Odesa,65030,UA
